// Made in NPC Maker by BowieD
GUID f5c47a455a2d4d95b02bfe0c9eeae790
Response_6_Reward_0_Type Quest
Response_6_Reward_0_ID 14902

Response_7_Dialogue 12136
Response_7_Quest 14902
Response_7_Conditions 1
Response_7_Condition_0_Type Quest
Response_7_Condition_0_ID 14902
Response_7_Condition_0_Status Ready
Response_7_Condition_0_Logic Equal
Response_7_Condition_0_Ignore_NPC False
Response_7_Condition_0_Reset 

Response_8_Dialogue 12136
Response_8_Quest 14902
Response_8_Conditions 2
Response_8_Condition_0_Type Quest
Response_8_Condition_0_ID 14902
Response_8_Condition_0_Status Completed
Response_8_Condition_0_Logic Equal
Response_8_Condition_0_Ignore_NPC False

Response_8_Condition_1_Type Flag_Bool
Response_8_Condition_1_ID 18002
Response_8_Condition_1_Value False
Response_8_Condition_1_Logic Equal

Response_8_Rewards 1
Response_8_Reward_0_Type Quest
Response_8_Reward_0_ID 14902

Response_9_Dialogue 12136
Response_9_Quest 14903
Response_9_Conditions 1
Response_9_Condition_0_Type Quest
Response_9_Condition_0_ID 14903
Response_9_Condition_0_Status None
Response_9_Condition_0_Logic Equal
Response_9_Condition_0_Ignore_NPC False

Response_9_Rewards 1
Response_9_Reward_0_Type Quest
Response_9_Reward_0_ID 14903

Response_10_Dialogue 12136
Response_10_Quest 14903
Response_10_Conditions 1
Response_10_Condition_0_Type Quest
Response_10_Condition_0_ID 14903
Response_10_Condition_0_Status Ready
Response_10_Condition_0_Logic Equal
Response_10_Condition_0_Ignore_NPC False
Response_10_Condition_0_Reset 

Response_11_Dialogue 12136
Response_11_Quest 14903
Response_11_Conditions 2
Response_11_Condition_0_Type Quest
Response_11_Condition_0_ID 14903
Response_11_Condition_0_Status Completed
Response_11_Condition_0_Logic Equal
Response_11_Condition_0_Ignore_NPC False

Response_11_Condition_1_Type Flag_Bool
Response_11_Condition_1_ID 18003
Response_11_Condition_1_Value False
Response_11_Condition_1_Logic Equal

Response_11_Rewards 1
Response_11_Reward_0_Type Quest
Response_11_Reward_0_ID 14903

Response_12_Dialogue 12136
Response_12_Quest 14904
Response_12_Conditions 1
Response_12_Condition_0_Type Quest
Response_12_Condition_0_ID 14904
Response_12_Condition_0_Status None
Response_12_Condition_0_Logic Equal
Response_12_Condition_0_Ignore_NPC False

Response_12_Rewards 1
Response_12_Reward_0_Type Quest
Response_12_Reward_0_ID 14904

Response_13_Dialogue 12136
Response_13_Quest 14904
Response_13_Conditions 1
Response_13_Condition_0_Type Quest
Response_13_Condition_0_ID 14904
Response_13_Condition_0_Status Ready
Response_13_Condition_0_Logic Equal
Response_13_Condition_0_Ignore_NPC False
Response_13_Condition_0_Reset 

Response_14_Dialogue 12136
Response_14_Quest 14904
Response_14_Conditions 2
Response_14_Condition_0_Type Quest
Response_14_Condition_0_ID 14904
Response_14_Condition_0_Status Completed
Response_14_Condition_0_Logic Equal
Response_14_Condition_0_Ignore_NPC False

Response_14_Condition_1_Type Flag_Bool
Response_14_Condition_1_ID 18004
Response_14_Condition_1_Value False
Response_14_Condition_1_Logic Equal

Response_14_Rewards 1
Response_14_Reward_0_Type Quest
Response_14_Reward_0_ID 14904

Response_15_Dialogue 12136
Response_15_Quest 14905
Response_15_Conditions 1
Response_15_Condition_0_Type Quest
Response_15_Condition_0_ID 14905
Response_15_Condition_0_Status None
Response_15_Condition_0_Logic Equal
Response_15_Condition_0_Ignore_NPC False

Response_15_Rewards 1
Response_15_Reward_0_Type Quest
Response_15_Reward_0_ID 14905

Response_16_Dialogue 12136
Response_16_Quest 14905
Response_16_Conditions 1
Response_16_Condition_0_Type Quest
Response_16_Condition_0_ID 14905
Response_16_Condition_0_Status Ready
Response_16_Condition_0_Logic Equal
Response_16_Condition_0_Ignore_NPC False
Response_16_Condition_0_Reset 

Response_17_Dialogue 12136
Response_17_Quest 14905
Response_17_Conditions 2
Response_17_Condition_0_Type Quest
Response_17_Condition_0_ID 14905
Response_17_Condition_0_Status Completed
Response_17_Condition_0_Logic Equal
Response_17_Condition_0_Ignore_NPC False

Response_17_Condition_1_Type Flag_Bool
Response_17_Condition_1_ID 18005
Response_17_Condition_1_Value False
Response_17_Condition_1_Logic Equal

Response_17_Rewards 1
Response_17_Reward_0_Type Quest
Response_17_Reward_0_ID 14905

Response_18_Dialogue 12136
Response_18_Quest 14906
Response_18_Conditions 1
Response_18_Condition_0_Type Quest
Response_18_Condition_0_ID 14906
Response_18_Condition_0_Status None
Response_18_Condition_0_Logic Equal
Response_18_Condition_0_Ignore_NPC False

Response_18_Rewards 1
Response_18_Reward_0_Type Quest
Response_18_Reward_0_ID 14906

Response_19_Dialogue 12136
Response_19_Quest 14906
Response_19_Conditions 1
Response_19_Condition_0_Type Quest
Response_19_Condition_0_ID 14906
Response_19_Condition_0_Status Ready
Response_19_Condition_0_Logic Equal
Response_19_Condition_0_Ignore_NPC False
Response_19_Condition_0_Reset 

Response_20_Dialogue 12136
Response_20_Quest 14906
Response_20_Conditions 2
Response_20_Condition_0_Type Quest
Response_20_Condition_0_ID 14906
Response_20_Condition_0_Status Completed
Response_20_Condition_0_Logic Equal
Response_20_Condition_0_Ignore_NPC False

Response_20_Condition_1_Type Flag_Bool
Response_20_Condition_1_ID 18006
Response_20_Condition_1_Value False
Response_20_Condition_1_Logic Equal

Response_20_Rewards 1
Response_20_Reward_0_Type Quest
Response_20_Reward_0_ID 14906

Response_21_Dialogue 12136
Response_21_Quest 14800
Response_21_Conditions 1
Response_21_Condition_0_Type Quest
Response_21_Condition_0_ID 14800
Response_21_Condition_0_Status None
Response_21_Condition_0_Logic Equal
Response_21_Condition_0_Ignore_NPC False

Response_21_Rewards 1
Response_21_Reward_0_Type Quest
Response_21_Reward_0_ID 14800

Response_22_Dialogue 12136
Response_22_Quest 14800
Response_22_Conditions 1
Response_22_Condition_0_Type Quest
Response_22_Condition_0_ID 14800
Response_22_Condition_0_Status Ready
Response_22_Condition_0_Logic Equal
Response_22_Condition_0_Ignore_NPC False
Response_22_Condition_0_Reset 

Response_23_Dialogue 12136
Response_23_Quest 14800
Response_23_Conditions 1
Response_23_Condition_0_Type Quest
Response_23_Condition_0_ID 14800
Response_23_Condition_0_Status Completed
Response_23_Condition_0_Logic Equal
Response_23_Condition_0_Ignore_NPC False

Response_23_Rewards 1
Response_23_Reward_0_Type Quest
Response_23_Reward_0_ID 14800

Response_24_Dialogue 12136
Response_24_Quest 14801
Response_24_Conditions 1
Response_24_Condition_0_Type Quest
Response_24_Condition_0_ID 14801
Response_24_Condition_0_Status None
Response_24_Condition_0_Logic Equal
Response_24_Condition_0_Ignore_NPC False

Response_24_Rewards 1
Response_24_Reward_0_Type Quest
Response_24_Reward_0_ID 14801

Response_25_Dialogue 12136
Response_25_Quest 14801
Response_25_Conditions 1
Response_25_Condition_0_Type Quest
Response_25_Condition_0_ID 14801
Response_25_Condition_0_Status Ready
Response_25_Condition_0_Logic Equal
Response_25_Condition_0_Ignore_NPC False
Response_25_Condition_0_Reset 

Response_26_Dialogue 12136
Response_26_Quest 14801
Response_26_Conditions 1
Response_26_Condition_0_Type Quest
Response_26_Condition_0_ID 14801
Response_26_Condition_0_Status Completed
Response_26_Condition_0_Logic Equal
Response_26_Condition_0_Ignore_NPC False

Response_26_Rewards 1
Response_26_Reward_0_Type Quest
Response_26_Reward_0_ID 14801

Response_27_Dialogue 12136
Response_27_Quest 14802
Response_27_Conditions 1
Response_27_Condition_0_Type Quest
Response_27_Condition_0_ID 14802
Response_27_Condition_0_Status None
Response_27_Condition_0_Logic Equal
Response_27_Condition_0_Ignore_NPC False

Response_27_Rewards 1
Response_27_Reward_0_Type Quest
Response_27_Reward_0_ID 14802

Response_28_Dialogue 12136
Response_28_Quest 14802
Response_28_Conditions 1
Response_28_Condition_0_Type Quest
Response_28_Condition_0_ID 14802
Response_28_Condition_0_Status Ready
Response_28_Condition_0_Logic Equal
Response_28_Condition_0_Ignore_NPC False
Response_28_Condition_0_Reset 

Response_29_Dialogue 12136
Response_29_Quest 14802
Response_29_Conditions 1
Response_29_Condition_0_Type Quest
Response_29_Condition_0_ID 14802
Response_29_Condition_0_Status Completed
Response_29_Condition_0_Logic Equal
Response_29_Condition_0_Ignore_NPC False

Response_29_Rewards 1
Response_29_Reward_0_Type Quest
Response_29_Reward_0_ID 14802

Response_30_Dialogue 12136
Response_30_Quest 14803
Response_30_Conditions 1
Response_30_Condition_0_Type Quest
Response_30_Condition_0_ID 14803
Response_30_Condition_0_Status None
Response_30_Condition_0_Logic Equal
Response_30_Condition_0_Ignore_NPC False

Response_30_Rewards 1
Response_30_Reward_0_Type Quest
Response_30_Reward_0_ID 14803

Response_31_Dialogue 12136
Response_31_Quest 14803
Response_31_Conditions 1
Response_31_Condition_0_Type Quest
Response_31_Condition_0_ID 14803
Response_31_Condition_0_Status Ready
Response_31_Condition_0_Logic Equal
Response_31_Condition_0_Ignore_NPC False
Response_31_Condition_0_Reset 

Response_32_Dialogue 12136
Response_32_Quest 14803
Response_32_Conditions 1
Response_32_Condition_0_Type Quest
Response_32_Condition_0_ID 14803
Response_32_Condition_0_Status Completed
Response_32_Condition_0_Logic Equal
Response_32_Condition_0_Ignore_NPC False

Response_32_Rewards 1
Response_32_Reward_0_Type Quest
Response_32_Reward_0_ID 14803

Response_33_Dialogue 12136
Response_33_Quest 14804
Response_33_Conditions 1
Response_33_Condition_0_Type Quest
Response_33_Condition_0_ID 14804
Response_33_Condition_0_Status None
Response_33_Condition_0_Logic Equal
Response_33_Condition_0_Ignore_NPC False

Response_33_Rewards 1
Response_33_Reward_0_Type Quest
Response_33_Reward_0_ID 14804

Response_34_Dialogue 12136
Response_34_Quest 14804
Response_34_Conditions 1
Response_34_Condition_0_Type Quest
Response_34_Condition_0_ID 14804
Response_34_Condition_0_Status Ready
Response_34_Condition_0_Logic Equal
Response_34_Condition_0_Ignore_NPC False
Response_34_Condition_0_Reset 

Response_35_Dialogue 12136
Response_35_Quest 14804
Response_35_Conditions 1
Response_35_Condition_0_Type Quest
Response_35_Condition_0_ID 14804
Response_35_Condition_0_Status Completed
Response_35_Condition_0_Logic Equal
Response_35_Condition_0_Ignore_NPC False

Response_35_Rewards 1
Response_35_Reward_0_Type Quest
Response_35_Reward_0_ID 14804

Response_36_Dialogue 12136
Response_36_Quest 14805
Response_36_Conditions 1
Response_36_Condition_0_Type Quest
Response_36_Condition_0_ID 14805
Response_36_Condition_0_Status None
Response_36_Condition_0_Logic Equal
Response_36_Condition_0_Ignore_NPC False

Response_36_Rewards 1
Response_36_Reward_0_Type Quest
Response_36_Reward_0_ID 14805

Response_37_Dialogue 12136
Response_37_Quest 14805
Response_37_Conditions 1
Response_37_Condition_0_Type Quest
Response_37_Condition_0_ID 14805
Response_37_Condition_0_Status Ready
Response_37_Condition_0_Logic Equal
Response_37_Condition_0_Ignore_NPC False
Response_37_Condition_0_Reset 

Response_38_Dialogue 12136
Response_38_Quest 14805
Response_38_Conditions 1
Response_38_Condition_0_Type Quest
Response_38_Condition_0_ID 14805
Response_38_Condition_0_Status Completed
Response_38_Condition_0_Logic Equal
Response_38_Condition_0_Ignore_NPC False

Response_38_Rewards 1
Response_38_Reward_0_Type Quest
Response_38_Reward_0_ID 14805

Response_39_Dialogue 12136
Response_39_Quest 14806
Response_39_Conditions 1
Response_39_Condition_0_Type Quest
Response_39_Condition_0_ID 14806
Response_39_Condition_0_Status None
Response_39_Condition_0_Logic Equal
Response_39_Condition_0_Ignore_NPC False

Response_39_Rewards 1
Response_39_Reward_0_Type Quest
Response_39_Reward_0_ID 14806

Response_40_Dialogue 12136
Response_40_Quest 14806
Response_40_Conditions 1
Response_40_Condition_0_Type Quest
Response_40_Condition_0_ID 14806
Response_40_Condition_0_Status Ready
Response_40_Condition_0_Logic Equal
Response_40_Condition_0_Ignore_NPC False
Response_40_Condition_0_Reset 

Response_41_Dialogue 12136
Response_41_Quest 14806
Response_41_Conditions 1
Response_41_Condition_0_Type Quest
Response_41_Condition_0_ID 14806
Response_41_Condition_0_Status Completed
Response_41_Condition_0_Logic Equal
Response_41_Condition_0_Ignore_NPC False

Response_41_Rewards 1
Response_41_Reward_0_Type Quest
Response_41_Reward_0_ID 14806

Response_42_Dialogue 12136
Response_42_Quest 14807
Response_42_Conditions 2
Response_42_Condition_0_Type Quest
Response_42_Condition_0_ID 14807
Response_42_Condition_0_Status None
Response_42_Condition_0_Logic Equal
Response_42_Condition_0_Ignore_NPC False

Response_42_Condition_1_Type Quest
Response_42_Condition_1_ID 14043
Response_42_Condition_1_Status Completed
Response_42_Condition_1_Logic Equal
Response_42_Condition_1_Ignore_NPC False

Response_42_Rewards 1
Response_42_Reward_0_Type Quest
Response_42_Reward_0_ID 14807

Response_43_Dialogue 12136
Response_43_Quest 14807
Response_43_Conditions 1
Response_43_Condition_0_Type Quest
Response_43_Condition_0_ID 14807
Response_43_Condition_0_Status Ready
Response_43_Condition_0_Logic Equal
Response_43_Condition_0_Ignore_NPC False
Response_43_Condition_0_Reset 

Response_44_Dialogue 12136
Response_44_Quest 14807
Response_44_Conditions 2
Response_44_Condition_0_Type Quest
Response_44_Condition_0_ID 14807
Response_44_Condition_0_Status Completed
Response_44_Condition_0_Logic Equal
Response_44_Condition_0_Ignore_NPC False

Response_44_Condition_1_Type Quest
Response_44_Condition_1_ID 14043
Response_44_Condition_1_Status Completed
Response_44_Condition_1_Logic Equal
Response_44_Condition_1_Ignore_NPC False

Response_44_Rewards 1
Response_44_Reward_0_Type Quest
Response_44_Reward_0_ID 14807

Response_45_Dialogue 12136
Response_45_Quest 14808
Response_45_Conditions 1
Response_45_Condition_0_Type Quest
Response_45_Condition_0_ID 14808
Response_45_Condition_0_Status None
Response_45_Condition_0_Logic Equal
Response_45_Condition_0_Ignore_NPC False

Response_45_Rewards 1
Response_45_Reward_0_Type Quest
Response_45_Reward_0_ID 14808

Response_46_Dialogue 12136
Response_46_Quest 14809
Response_46_Conditions 1
Response_46_Condition_0_Type Quest
Response_46_Condition_0_ID 14809
Response_46_Condition_0_Status Ready
Response_46_Condition_0_Logic Equal
Response_46_Condition_0_Ignore_NPC False
Response_46_Condition_0_Reset 

Response_47_Dialogue 12136
Response_47_Quest 14809
Response_47_Conditions 1
Response_47_Condition_0_Type Quest
Response_47_Condition_0_ID 14808
Response_47_Condition_0_Status Completed
Response_47_Condition_0_Logic Equal
Response_47_Condition_0_Ignore_NPC False

Response_47_Rewards 1
Response_47_Reward_0_Type Quest
Response_47_Reward_0_ID 14808

Response_48_Dialogue 12136
Response_48_Quest 14809
Response_48_Conditions 1
Response_48_Condition_0_Type Quest
Response_48_Condition_0_ID 14809
Response_48_Condition_0_Status None
Response_48_Condition_0_Logic Equal
Response_48_Condition_0_Ignore_NPC False

Response_48_Rewards 1
Response_48_Reward_0_Type Quest
Response_48_Reward_0_ID 14809

Response_49_Dialogue 12136
Response_49_Quest 14809
Response_49_Conditions 1
Response_49_Condition_0_Type Quest
Response_49_Condition_0_ID 14809
Response_49_Condition_0_Status Ready
Response_49_Condition_0_Logic Equal
Response_49_Condition_0_Ignore_NPC False
Response_49_Condition_0_Reset 

Response_50_Dialogue 12136
Response_50_Quest 14809
Response_50_Conditions 1
Response_50_Condition_0_Type Quest
Response_50_Condition_0_ID 14809
Response_50_Condition_0_Status Completed
Response_50_Condition_0_Logic Equal
Response_50_Condition_0_Ignore_NPC False

Response_50_Rewards 1
Response_50_Reward_0_Type Quest
Response_50_Reward_0_ID 14809

Response_51_Dialogue 12136
Response_51_Quest 14810
Response_51_Conditions 1
Response_51_Condition_0_Type Quest
Response_51_Condition_0_ID 14810
Response_51_Condition_0_Status None
Response_51_Condition_0_Logic Equal
Response_51_Condition_0_Ignore_NPC False

Response_51_Rewards 1
Response_51_Reward_0_Type Quest
Response_51_Reward_0_ID 14810

Response_52_Dialogue 12136
Response_52_Quest 14810
Response_52_Conditions 1
Response_52_Condition_0_Type Quest
Response_52_Condition_0_ID 14810
Response_52_Condition_0_Status Ready
Response_52_Condition_0_Logic Equal
Response_52_Condition_0_Ignore_NPC False
Response_52_Condition_0_Reset 

Response_53_Dialogue 12136
Response_53_Quest 14810
Response_53_Conditions 1
Response_53_Condition_0_Type Quest
Response_53_Condition_0_ID 14810
Response_53_Condition_0_Status Completed
Response_53_Condition_0_Logic Equal
Response_53_Condition_0_Ignore_NPC False

Response_53_Rewards 1
Response_53_Reward_0_Type Quest
Response_53_Reward_0_ID 14810

Response_54_Dialogue 12136
Response_54_Quest 14811
Response_54_Conditions 1
Response_54_Condition_0_Type Quest
Response_54_Condition_0_ID 14811
Response_54_Condition_0_Status None
Response_54_Condition_0_Logic Equal
Response_54_Condition_0_Ignore_NPC False

Response_54_Rewards 1
Response_54_Reward_0_Type Quest
Response_54_Reward_0_ID 14811

Response_55_Dialogue 12136
Response_55_Quest 14811
Response_55_Conditions 1
Response_55_Condition_0_Type Quest
Response_55_Condition_0_ID 14811
Response_55_Condition_0_Status Ready
Response_55_Condition_0_Logic Equal
Response_55_Condition_0_Ignore_NPC False
Response_55_Condition_0_Reset 

Response_56_Dialogue 12136
Response_56_Quest 14811
Response_56_Conditions 1
Response_56_Condition_0_Type Quest
Response_56_Condition_0_ID 14811
Response_56_Condition_0_Status Completed
Response_56_Condition_0_Logic Equal
Response_56_Condition_0_Ignore_NPC False

Response_56_Rewards 1
Response_56_Reward_0_Type Quest
Response_56_Reward_0_ID 14811

Response_57_Dialogue 12136
Response_57_Quest 14812
Response_57_Conditions 1
Response_57_Condition_0_Type Quest
Response_57_Condition_0_ID 14812
Response_57_Condition_0_Status None
Response_57_Condition_0_Logic Equal
Response_57_Condition_0_Ignore_NPC False

Response_57_Rewards 1
Response_57_Reward_0_Type Quest
Response_57_Reward_0_ID 14812

Response_58_Dialogue 12136
Response_58_Quest 14812
Response_58_Conditions 1
Response_58_Condition_0_Type Quest
Response_58_Condition_0_ID 14812
Response_58_Condition_0_Status Ready
Response_58_Condition_0_Logic Equal
Response_58_Condition_0_Ignore_NPC False
Response_58_Condition_0_Reset 

Response_59_Dialogue 12136
Response_59_Quest 14812
Response_59_Conditions 1
Response_59_Condition_0_Type Quest
Response_59_Condition_0_ID 14812
Response_59_Condition_0_Status Completed
Response_59_Condition_0_Logic Equal
Response_59_Condition_0_Ignore_NPC False

Response_59_Rewards 1
Response_59_Reward_0_Type Quest
Response_59_Reward_0_ID 14812

Response_60_Dialogue 12136
Response_60_Quest 14813
Response_60_Conditions 1
Response_60_Condition_0_Type Quest
Response_60_Condition_0_ID 14813
Response_60_Condition_0_Status None
Response_60_Condition_0_Logic Equal
Response_60_Condition_0_Ignore_NPC False

Response_60_Rewards 1
Response_60_Reward_0_Type Quest
Response_60_Reward_0_ID 14813

Response_61_Dialogue 12136
Response_61_Quest 14813
Response_61_Conditions 1
Response_61_Condition_0_Type Quest
Response_61_Condition_0_ID 14813
Response_61_Condition_0_Status Ready
Response_61_Condition_0_Logic Equal
Response_61_Condition_0_Ignore_NPC False
Response_61_Condition_0_Reset 

Response_62_Dialogue 12136
Response_62_Quest 14813
Response_62_Conditions 1
Response_62_Condition_0_Type Quest
Response_62_Condition_0_ID 14813
Response_62_Condition_0_Status Completed
Response_62_Condition_0_Logic Equal
Response_62_Condition_0_Ignore_NPC False

Response_62_Rewards 1
Response_62_Reward_0_Type Quest
Response_62_Reward_0_ID 14813

Response_63_Dialogue 12136
Response_63_Quest 14814
Response_63_Conditions 2
Response_63_Condition_0_Type Quest
Response_63_Condition_0_ID 14814
Response_63_Condition_0_Status None
Response_63_Condition_0_Logic Equal
Response_63_Condition_0_Ignore_NPC False

Response_63_Condition_1_Type Quest
Response_63_Condition_1_ID 14049
Response_63_Condition_1_Status Completed
Response_63_Condition_1_Logic Equal
Response_63_Condition_1_Ignore_NPC False

Response_64_Dialogue 12136
Response_64_Quest 14814
Response_64_Conditions 1
Response_64_Condition_0_Type Quest
Response_64_Condition_0_ID 14814
Response_64_Condition_0_Status Ready
Response_64_Condition_0_Logic Equal
Response_64_Condition_0_Ignore_NPC False
Response_64_Condition_0_Reset 

Response_65_Dialogue 12136
Response_65_Quest 14814
Response_65_Conditions 2
Response_65_Condition_0_Type Quest
Response_65_Condition_0_ID 14814
Response_65_Condition_0_Status Completed
Response_65_Condition_0_Logic Equal
Response_65_Condition_0_Ignore_NPC False

Response_65_Condition_1_Type Quest
Response_65_Condition_1_ID 14049
Response_65_Condition_1_Status Completed
Response_65_Condition_1_Logic Equal
Response_65_Condition_1_Ignore_NPC False

Response_65_Rewards 1
Response_65_Reward_0_Type Quest
Response_65_Reward_0_ID 14814

Response_66_Dialogue 12136
Response_66_Quest 14815
Response_66_Conditions 2
Response_66_Condition_0_Type Quest
Response_66_Condition_0_ID 14815
Response_66_Condition_0_Status None
Response_66_Condition_0_Logic Equal
Response_66_Condition_0_Ignore_NPC False

Response_66_Condition_1_Type Quest
Response_66_Condition_1_ID 14062
Response_66_Condition_1_Status Completed
Response_66_Condition_1_Logic Equal
Response_66_Condition_1_Ignore_NPC False

Response_66_Rewards 1
Response_66_Reward_0_Type Quest
Response_66_Reward_0_ID 14815

Response_67_Dialogue 12136
Response_67_Quest 14815
Response_67_Conditions 1
Response_67_Condition_0_Type Quest
Response_67_Condition_0_ID 14815
Response_67_Condition_0_Status Ready
Response_67_Condition_0_Logic Equal
Response_67_Condition_0_Ignore_NPC False
Response_67_Condition_0_Reset 

Response_68_Dialogue 12136
Response_68_Quest 14815
Response_68_Conditions 2
Response_68_Condition_0_Type Quest
Response_68_Condition_0_ID 14815
Response_68_Condition_0_Status Completed
Response_68_Condition_0_Logic Equal
Response_68_Condition_0_Ignore_NPC False

Response_68_Condition_1_Type Quest
Response_68_Condition_1_ID 14062
Response_68_Condition_1_Status Completed
Response_68_Condition_1_Logic Equal
Response_68_Condition_1_Ignore_NPC False

Response_68_Rewards 1
Response_68_Reward_0_Type Quest
Response_68_Reward_0_ID 14815

Response_69_Dialogue 12136
Response_69_Quest 14816
Response_69_Conditions 2
Response_69_Condition_0_Type Quest
Response_69_Condition_0_ID 14816
Response_69_Condition_0_Status None
Response_69_Condition_0_Logic Equal
Response_69_Condition_0_Ignore_NPC False

Response_69_Condition_1_Type Quest
Response_69_Condition_1_ID 14049
Response_69_Condition_1_Status Completed
Response_69_Condition_1_Logic Equal
Response_69_Condition_1_Ignore_NPC False

Response_69_Rewards 1
Response_69_Reward_0_Type Quest
Response_69_Reward_0_ID 14816

Response_70_Dialogue 12136
Response_70_Quest 14816
Response_70_Conditions 1
Response_70_Condition_0_Type Quest
Response_70_Condition_0_ID 14816
Response_70_Condition_0_Status Ready
Response_70_Condition_0_Logic Equal
Response_70_Condition_0_Ignore_NPC False
Response_70_Condition_0_Reset 

Response_71_Dialogue 12136
Response_71_Quest 14816
Response_71_Conditions 2
Response_71_Condition_0_Type Quest
Response_71_Condition_0_ID 14816
Response_71_Condition_0_Status Completed
Response_71_Condition_0_Logic Equal
Response_71_Condition_0_Ignore_NPC False

Response_71_Condition_1_Type Quest
Response_71_Condition_1_ID 14049
Response_71_Condition_1_Status None
Response_71_Condition_1_Logic Equal
Response_71_Condition_1_Ignore_NPC False

Response_71_Rewards 1
Response_71_Reward_0_Type Quest
Response_71_Reward_0_ID 14816

Response_72_Dialogue 12136
Response_72_Quest 14817
Response_72_Conditions 2
Response_72_Condition_0_Type Quest
Response_72_Condition_0_ID 14817
Response_72_Condition_0_Status None
Response_72_Condition_0_Logic Equal
Response_72_Condition_0_Ignore_NPC False

Response_72_Condition_1_Type Quest
Response_72_Condition_1_ID 14061
Response_72_Condition_1_Status Completed
Response_72_Condition_1_Logic Equal
Response_72_Condition_1_Ignore_NPC False

Response_72_Rewards 1
Response_72_Reward_0_Type Quest
Response_72_Reward_0_ID 14817

Response_73_Dialogue 12136
Response_73_Quest 14817
Response_73_Conditions 1
Response_73_Condition_0_Type Quest
Response_73_Condition_0_ID 14817
Response_73_Condition_0_Status Ready
Response_73_Condition_0_Logic Equal
Response_73_Condition_0_Ignore_NPC False
Response_73_Condition_0_Reset 

Response_74_Dialogue 12136
Response_74_Quest 14817
Response_74_Conditions 2
Response_74_Condition_0_Type Quest
Response_74_Condition_0_ID 14817
Response_74_Condition_0_Status Completed
Response_74_Condition_0_Logic Equal
Response_74_Condition_0_Ignore_NPC False

Response_74_Condition_1_Type Quest
Response_74_Condition_1_ID 14061
Response_74_Condition_1_Status Completed
Response_74_Condition_1_Logic Equal
Response_74_Condition_1_Ignore_NPC False

Response_74_Rewards 1
Response_74_Reward_0_Type Quest
Response_74_Reward_0_ID 14817

Response_75_Dialogue 12136
Response_75_Quest 14818
Response_75_Conditions 1
Response_75_Condition_0_Type Quest
Response_75_Condition_0_ID 14818
Response_75_Condition_0_Status None
Response_75_Condition_0_Logic Equal
Response_75_Condition_0_Ignore_NPC False

